,SchoolYear,OrganizationLevel,DistrictName,StudentGroupType,StudentGroup,Domain,PreparedForK_Percent
910,2019-20,School,Almira School District,SpecialEd,Students without Disabilities,Cognitive,
911,2019-20,School,Almira School District,SpecialEd,Students without Disabilities,Language,
912,2019-20,School,Almira School District,SpecialEd,Students without Disabilities,Literacy,
913,2019-20,School,Almira School District,SpecialEd,Students without Disabilities,Math,
914,2019-20,School,Almira School District,SpecialEd,Students without Disabilities,NumberofDomains,
915,2019-20,School,Almira School District,SpecialEd,Students without Disabilities,Physical,
916,2019-20,School,Almira School District,SpecialEd,Students without Disabilities,SocialEmotional,
917,2019-20,School,Anacortes School District,All,All Students,Cognitive,0.9060
918,2019-20,School,Anacortes School District,All,All Students,Language,0.9060
919,2019-20,School,Anacortes School District,All,All Students,Literacy,0.9250
920,2019-20,School,Anacortes School District,All,All Students,Math,0.9250
921,2019-20,School,Anacortes School District,All,All Students,NumberofDomains,
922,2019-20,School,Anacortes School District,All,All Students,Physical,0.8870
923,2019-20,School,Anacortes School District,All,All Students,SocialEmotional,0.9250
924,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Cognitive,
925,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Language,
926,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Literacy,
927,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Math,
928,2019-20,School,Anacortes School District,Bilingual,English Language Learners,NumberofDomains,
929,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Physical,
930,2019-20,School,Anacortes School District,Bilingual,English Language Learners,SocialEmotional,
931,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Cognitive,0.9020
932,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Language,0.9020
933,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Literacy,0.9220
934,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Math,0.9220
935,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,NumberofDomains,
936,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Physical,0.8820
937,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,SocialEmotional,0.9410
938,2019-20,School,Anacortes School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Cognitive,
939,2019-20,School,Anacortes School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Language,
940,2019-20,School,Anacortes School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Literacy,
941,2019-20,School,Anacortes School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Math,
942,2019-20,School,Anacortes School District,FederalRaceEthnicity,American Indian/ Alaskan Native,NumberofDomains,
943,2019-20,School,Anacortes School District,FederalRaceEthnicity,American Indian/ Alaskan Native,Physical,
944,2019-20,School,Anacortes School District,FederalRaceEthnicity,American Indian/ Alaskan Native,SocialEmotional,
945,2019-20,School,Anacortes School District,FederalRaceEthnicity,Asian,Cognitive,
946,2019-20,School,Anacortes School District,FederalRaceEthnicity,Asian,Language,
947,2019-20,School,Anacortes School District,FederalRaceEthnicity,Asian,Literacy,
948,2019-20,School,Anacortes School District,FederalRaceEthnicity,Asian,Math,
949,2019-20,School,Anacortes School District,FederalRaceEthnicity,Asian,NumberofDomains,
950,2019-20,School,Anacortes School District,FederalRaceEthnicity,Asian,Physical,
951,2019-20,School,Anacortes School District,FederalRaceEthnicity,Asian,SocialEmotional,
952,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Cognitive,
953,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Language,
954,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Literacy,
955,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Math,
956,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),NumberofDomains,
957,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Physical,
958,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),SocialEmotional,
959,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Cognitive,
960,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Language,
961,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Literacy,
962,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Math,
963,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,NumberofDomains,
964,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Physical,
965,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,SocialEmotional,
966,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Cognitive,0.8920
967,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Language,0.8920
968,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Literacy,0.9190
969,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Math,0.9190
970,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,NumberofDomains,
971,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Physical,0.8650
972,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,SocialEmotional,0.9190
973,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Cognitive,0.7140
974,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Language,0.7140
975,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Literacy,0.7860
976,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Math,0.7140
977,2019-20,School,Anacortes School District,FreeLunch,Low-Income,NumberofDomains,
978,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Physical,0.8570
979,2019-20,School,Anacortes School District,FreeLunch,Low-Income,SocialEmotional,0.7860
980,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Cognitive,0.9740
981,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Language,0.9740
982,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Literacy,0.9740
983,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Math,1.0000
984,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,NumberofDomains,
985,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Physical,0.8970
986,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,SocialEmotional,0.9740
987,2019-20,School,Anacortes School District,Gender,Female,Cognitive,0.9350
988,2019-20,School,Anacortes School District,Gender,Female,Language,0.9350
989,2019-20,School,Anacortes School District,Gender,Female,Literacy,0.9680
990,2019-20,School,Anacortes School District,Gender,Female,Math,0.9350
991,2019-20,School,Anacortes School District,Gender,Female,NumberofDomains,
992,2019-20,School,Anacortes School District,Gender,Female,Physical,0.9680
993,2019-20,School,Anacortes School District,Gender,Female,SocialEmotional,0.9350
994,2019-20,School,Anacortes School District,Gender,Male,Cognitive,0.8640
995,2019-20,School,Anacortes School District,Gender,Male,Language,0.8640
996,2019-20,School,Anacortes School District,Gender,Male,Literacy,0.8640
997,2019-20,School,Anacortes School District,Gender,Male,Math,0.9090
998,2019-20,School,Anacortes School District,Gender,Male,NumberofDomains,
999,2019-20,School,Anacortes School District,Gender,Male,Physical,0.7730
1000,2019-20,School,Anacortes School District,Gender,Male,SocialEmotional,0.9090
1001,2019-20,School,Anacortes School District,isHomeless,Homeless,Cognitive,
1002,2019-20,School,Anacortes School District,isHomeless,Homeless,Language,
1003,2019-20,School,Anacortes School District,isHomeless,Homeless,Literacy,
1004,2019-20,School,Anacortes School District,isHomeless,Homeless,Math,
1005,2019-20,School,Anacortes School District,isHomeless,Homeless,NumberofDomains,
1006,2019-20,School,Anacortes School District,isHomeless,Homeless,Physical,
1007,2019-20,School,Chief Leschi Schools,Gender,Male,Cognitive,1.0000
1008,2019-20,School,Anacortes School District,isHomeless,Homeless,SocialEmotional,
1009,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Cognitive,0.9220
1010,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Language,0.9220
1011,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Literacy,0.9410
1012,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Math,0.9410
1013,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,NumberofDomains,
1014,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Physical,0.8820
1015,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,SocialEmotional,0.9220
1016,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Cognitive,0.9060
1017,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Language,0.9060
1018,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Literacy,0.9250
1019,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Math,0.9250
1020,2019-20,School,Anacortes School District,isMigrant,Non Migrant,NumberofDomains,
1021,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Physical,0.8870
1022,2019-20,School,Anacortes School District,isMigrant,Non Migrant,SocialEmotional,0.9250
1023,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Cognitive,
1024,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Language,
1025,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Literacy,
1026,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Math,
1027,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,NumberofDomains,
1028,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Physical,
1029,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,SocialEmotional,
1030,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Cognitive,0.9380
1031,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Language,0.9380
1032,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Literacy,0.9380
1033,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Math,0.9580
1034,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,NumberofDomains,
1035,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Physical,0.8960
1036,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,SocialEmotional,0.9580
1037,2019-20,School,Anacortes School District,All,All Students,Cognitive,0.8890
1038,2019-20,School,Anacortes School District,All,All Students,Language,0.7110
1039,2019-20,School,Anacortes School District,All,All Students,Literacy,0.8670
1040,2019-20,School,Anacortes School District,All,All Students,Math,0.7560
1041,2019-20,School,Anacortes School District,All,All Students,NumberofDomains,
1042,2019-20,School,Anacortes School District,All,All Students,Physical,0.9330
1043,2019-20,School,Anacortes School District,All,All Students,SocialEmotional,0.9330
1044,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Cognitive,
1045,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Language,
1046,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Literacy,
1047,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Math,
1048,2019-20,School,Anacortes School District,Bilingual,English Language Learners,NumberofDomains,
1049,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Physical,
1050,2019-20,School,Anacortes School District,Bilingual,English Language Learners,SocialEmotional,
1051,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Cognitive,0.8860
1052,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Language,0.7050
1053,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Literacy,0.8860
1054,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Math,0.7730
1055,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,NumberofDomains,
1056,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Physical,0.9320
1057,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,SocialEmotional,0.9320
1058,2019-20,School,Anacortes School District,FederalRaceEthnicity,Black/ African American,Cognitive,
1059,2019-20,School,Anacortes School District,FederalRaceEthnicity,Black/ African American,Language,
1060,2019-20,School,Anacortes School District,FederalRaceEthnicity,Black/ African American,Literacy,
1061,2019-20,School,Anacortes School District,FederalRaceEthnicity,Black/ African American,Math,
1062,2019-20,School,Anacortes School District,FederalRaceEthnicity,Black/ African American,NumberofDomains,
1063,2019-20,School,Anacortes School District,FederalRaceEthnicity,Black/ African American,Physical,
1064,2019-20,School,Anacortes School District,FederalRaceEthnicity,Black/ African American,SocialEmotional,
1065,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Cognitive,
1066,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Language,
1067,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Literacy,
1068,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Math,
1069,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),NumberofDomains,
1070,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Physical,
1071,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),SocialEmotional,
1072,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Cognitive,
1073,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Language,
1074,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Literacy,
1075,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Math,
1076,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,NumberofDomains,
1077,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Physical,
1078,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,SocialEmotional,
1079,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Cognitive,0.9490
1080,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Language,0.7180
1081,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Literacy,0.9490
1082,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Math,0.8210
1083,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,NumberofDomains,
1084,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Physical,0.9490
1085,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,SocialEmotional,0.9740
1086,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Cognitive,
1087,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Language,
1088,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Literacy,
1089,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Math,
1090,2019-20,School,Anacortes School District,FreeLunch,Low-Income,NumberofDomains,
1091,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Physical,
1092,2019-20,School,Anacortes School District,FreeLunch,Low-Income,SocialEmotional,
1093,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Cognitive,0.9210
1094,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Language,0.7370
1095,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Literacy,0.9210
1096,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Math,0.7890
1097,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,NumberofDomains,
1098,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Physical,0.9210
1099,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,SocialEmotional,0.9470
1100,2019-20,School,Anacortes School District,Gender,Female,Cognitive,0.9290
1101,2019-20,School,Anacortes School District,Gender,Female,Language,0.7500
1102,2019-20,School,Anacortes School District,Gender,Female,Literacy,0.9290
1103,2019-20,School,Anacortes School District,Gender,Female,Math,0.7860
1104,2019-20,School,Anacortes School District,Gender,Female,NumberofDomains,
1105,2019-20,School,Anacortes School District,Gender,Female,Physical,1.0000
1106,2019-20,School,Anacortes School District,Gender,Female,SocialEmotional,0.9640
1107,2019-20,School,Anacortes School District,Gender,Male,Cognitive,0.8240
1108,2019-20,School,Anacortes School District,Gender,Male,Language,0.6470
1109,2019-20,School,Anacortes School District,Gender,Male,Literacy,0.7650
1110,2019-20,School,Anacortes School District,Gender,Male,Math,0.7060
1111,2019-20,School,Anacortes School District,Gender,Male,NumberofDomains,
1112,2019-20,School,Anacortes School District,Gender,Male,Physical,0.8240
1113,2019-20,School,Anacortes School District,Gender,Male,SocialEmotional,0.8820
1114,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Cognitive,0.8890
1115,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Language,0.7110
1116,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Literacy,0.8670
1117,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Math,0.7560
1118,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,NumberofDomains,
1119,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Physical,0.9330
1120,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,SocialEmotional,0.9330
1121,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Cognitive,0.8890
1122,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Language,0.7110
1123,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Literacy,0.8670
1124,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Math,0.7560
1125,2019-20,School,Anacortes School District,isMigrant,Non Migrant,NumberofDomains,
1126,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Physical,0.9330
1127,2019-20,School,Anacortes School District,isMigrant,Non Migrant,SocialEmotional,0.9330
1128,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Cognitive,
1129,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Language,
1130,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Literacy,
1131,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Math,
1132,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,NumberofDomains,
1133,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Physical,
1134,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,SocialEmotional,
1135,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Cognitive,0.9740
1136,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Language,0.7630
1137,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Literacy,0.9740
1138,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Math,0.8420
1139,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,NumberofDomains,
1140,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Physical,0.9740
1141,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,SocialEmotional,1.0000
1142,2019-20,School,Anacortes School District,All,All Students,Cognitive,0.8500
1143,2019-20,School,Anacortes School District,All,All Students,Language,0.9250
1144,2019-20,School,Anacortes School District,All,All Students,Literacy,0.9000
1145,2019-20,School,Anacortes School District,All,All Students,Math,0.7000
1146,2019-20,School,Anacortes School District,All,All Students,NumberofDomains,
1147,2019-20,School,Anacortes School District,All,All Students,Physical,1.0000
1148,2019-20,School,Anacortes School District,All,All Students,SocialEmotional,0.7500
1149,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Cognitive,
1150,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Language,
1151,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Literacy,
1152,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Math,
1153,2019-20,School,Anacortes School District,Bilingual,English Language Learners,NumberofDomains,
1154,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Physical,
1155,2019-20,School,Anacortes School District,Bilingual,English Language Learners,SocialEmotional,
1156,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Cognitive,0.8460
1157,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Language,0.9230
1158,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Literacy,0.8970
1159,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Math,0.7180
1160,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,NumberofDomains,
1161,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,Physical,1.0000
1162,2019-20,School,Anacortes School District,Bilingual,Non-English Language Learners,SocialEmotional,0.7440
1163,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Cognitive,
1164,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Language,
1165,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Literacy,
1166,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Math,
1167,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),NumberofDomains,
1168,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),Physical,
1169,2019-20,School,Anacortes School District,FederalRaceEthnicity,Hispanic/ Latino of any race(s),SocialEmotional,
1170,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Cognitive,
1171,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Language,
1172,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Literacy,
1173,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Math,
1174,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,NumberofDomains,
1175,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,Physical,
1176,2019-20,School,Anacortes School District,FederalRaceEthnicity,Two or More Races,SocialEmotional,
1177,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Cognitive,0.8930
1178,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Language,0.9290
1179,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Literacy,0.9290
1180,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Math,0.7860
1181,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,NumberofDomains,
1182,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,Physical,1.0000
1183,2019-20,School,Anacortes School District,FederalRaceEthnicity,White,SocialEmotional,0.7500
1184,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Cognitive,0.9000
1185,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Language,0.9000
1186,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Literacy,0.8000
1187,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Math,0.5000
1188,2019-20,School,Anacortes School District,FreeLunch,Low-Income,NumberofDomains,
1189,2019-20,School,Anacortes School District,FreeLunch,Low-Income,Physical,1.0000
1190,2019-20,School,Anacortes School District,FreeLunch,Low-Income,SocialEmotional,0.8000
1191,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Cognitive,0.8330
1192,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Language,0.9330
1193,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Literacy,0.9330
1194,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Math,0.7670
1195,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,NumberofDomains,
1196,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,Physical,1.0000
1197,2019-20,School,Anacortes School District,FreeLunch,Non-Low Income,SocialEmotional,0.7330
1198,2019-20,School,Anacortes School District,Gender,Female,Cognitive,1.0000
1199,2019-20,School,Anacortes School District,Gender,Female,Language,1.0000
1200,2019-20,School,Anacortes School District,Gender,Female,Literacy,0.9380
1201,2019-20,School,Anacortes School District,Gender,Female,Math,0.7500
1202,2019-20,School,Anacortes School District,Gender,Female,NumberofDomains,
1203,2019-20,School,Anacortes School District,Gender,Female,Physical,1.0000
1204,2019-20,School,Anacortes School District,Gender,Female,SocialEmotional,1.0000
1205,2019-20,School,Anacortes School District,Gender,Male,Cognitive,0.7500
1206,2019-20,School,Anacortes School District,Gender,Male,Language,0.8750
1207,2019-20,School,Anacortes School District,Gender,Male,Literacy,0.8750
1208,2019-20,School,Anacortes School District,Gender,Male,Math,0.6670
1209,2019-20,School,Anacortes School District,Gender,Male,NumberofDomains,
1210,2019-20,School,Anacortes School District,Gender,Male,Physical,1.0000
1211,2019-20,School,Anacortes School District,Gender,Male,SocialEmotional,0.5830
1212,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Cognitive,0.8500
1213,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Language,0.9250
1214,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Literacy,0.9000
1215,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Math,0.7000
1216,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,NumberofDomains,
1217,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,Physical,1.0000
1218,2019-20,School,Anacortes School District,isHomeless,Non-Homeless,SocialEmotional,0.7500
1219,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Cognitive,0.8500
1220,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Language,0.9250
1221,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Literacy,0.9000
1222,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Math,0.7000
1223,2019-20,School,Anacortes School District,isMigrant,Non Migrant,NumberofDomains,
1224,2019-20,School,Anacortes School District,isMigrant,Non Migrant,Physical,1.0000
1225,2019-20,School,Anacortes School District,isMigrant,Non Migrant,SocialEmotional,0.7500
1226,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Cognitive,
1227,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Language,
1228,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Literacy,
1229,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Math,
1230,2019-20,School,Chief Leschi Schools,Gender,Male,Language,0.9050
1231,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,NumberofDomains,
1232,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,Physical,
1233,2019-20,School,Anacortes School District,SpecialEd,Students with Disabilities,SocialEmotional,
1234,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Cognitive,0.9170
1235,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Language,1.0000
1236,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Literacy,0.9170
1237,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Math,0.7500
1238,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,NumberofDomains,
1239,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,Physical,1.0000
1240,2019-20,School,Anacortes School District,SpecialEd,Students without Disabilities,SocialEmotional,0.8060
1241,2019-20,School,Anacortes School District,All,All Students,Cognitive,0.9470
1242,2019-20,School,Anacortes School District,All,All Students,Language,0.9200
1243,2019-20,School,Anacortes School District,All,All Students,Literacy,0.9330
1244,2019-20,School,Anacortes School District,All,All Students,Math,0.8670
1245,2019-20,School,Anacortes School District,All,All Students,NumberofDomains,
1246,2019-20,School,Anacortes School District,All,All Students,Physical,0.9870
1247,2019-20,School,Anacortes School District,All,All Students,SocialEmotional,0.9200
1248,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Cognitive,
1249,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Language,
1250,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Literacy,
1251,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Math,
1252,2019-20,School,Anacortes School District,Bilingual,English Language Learners,NumberofDomains,
1253,2019-20,School,Anacortes School District,Bilingual,English Language Learners,Physical,
1254,2019-20,School,Anacortes School District,Bilingual,English Language Learners,SocialEmotional,
